mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.A.I		A	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/2	ii2		A	I		ii2	ii		2				mm7	0	0	0, 2, -1, 3		2	0
1	1	5/8	viio		A	I		viio	vii	o					o	0	0	5, 2, -1		5	5
1	1	7/8	V		A	I		V	V						M	0	0	1, 5, 2		1	1
2	2	0	I(9)		A	I		I(9)	I			9			M	0	0	0, 4, 1	2	0	0
2	2	1/4	I6		A	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	2	1/2	IVM7		A	I		IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1	-1
2	2	5/8	ii65		A	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
2	2	3/4	viio/V		A	I		viio/V	vii	o			V		o	0	0	6, 3, 0		6	6
2	2	7/8	V7/V		A	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
3	3	0	V(94)		A	I		V(94)	V			94			M	0	0	1, 0, 2	3	1	1
3	3	1/4	V		A	I		V	V						M	0	0	1, 5, 2		1	1
3	3	1/2	IV6(119)		A	I		IV6(119)	IV		6	119			M	0	0	3, 0, -1	5, 1	-1	3
3	3	5/8	IV6(9)		A	I		IV6(9)	IV		6	9			M	0	0	3, 0, -1	1	-1	3
3	3	3/4	viio		A	I		viio	vii	o					o	0	0	5, 2, -1		5	5
3	3	7/8	V7		A	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	4	0	I\\		A	I		I	I					\\	M	0	0	0, 4, 1		0	0
4	4	1/2	V.ii[ii		A	V	ii	ii	ii						m	0	0	2, -1, 3		2	2
4	4	3/4	ii(9)		A	V	ii	ii(9)	ii			9			m	0	0	2, -1, 3	4	2	2
4	4	7/8	ii		A	V	ii	ii	ii						m	0	0	2, -1, 3		2	2
5	5	0	V65(6)/ii		A	V	ii	V65(6)/ii	V		65	6	ii		Mm7	0	0	7, -1, 1, 3		3	7
5	5	1/4	V7(6)/ii		A	V	ii	V7(6)/ii	V		7	6	ii		Mm7	0	0	3, 7, -1, 1		3	3
5	5	3/8	V7/ii]		A	V	ii	V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
5	5	1/2	ii6(119)		A	V		ii6(119)	ii		6	119			m	0	0	-1, 3, 2	1, 4	2	-1
5	5	5/8	ii6(9)		A	V		ii6(9)	ii		6	9			m	0	0	-1, 3, 2	4	2	-1
