mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	5/16	4/4	1	1	1/16	1/16	1		3	69		0
1	0	1/16	3/8	4/4	1	1	1/16	1/16	1		5	71		1
1	0	1/8	7/16	4/4	1	1	1/16	1/16	1		7	73		2
1	0	3/16	1/2	4/4	1	1	1/16	1/16	1		2	74		3
1	0	1/4	9/16	4/4	1	1	1/16	1/16	1		3	69		4
1	0	5/16	5/8	4/4	1	1	1/16	1/16	1		-1	65		5
1	0	3/8	11/16	4/4	1	1	1/16	1/16	1		3	69		6
1	0	7/16	3/4	4/4	1	1	1/16	1/16	1		2	62		7
1	0	1/2	13/16	4/4	2	1	1/16	1/16	1		2	50		11
1	0	1/2	13/16	4/4	1	1	1/16	1/16	1		-1	77		8
1	0	9/16	7/8	4/4	2	1	1/16	1/16	1		-1	53		12
1	0	9/16	7/8	4/4	1	1	1/16	1/16	1		4	76		9
1	0	5/8	15/16	4/4	2	1	1/16	1/16	1		1	55		13
1	0	5/8	15/16	4/4	1	1	1/16	1/16	1		2	74		10
2	1	0	0	4/4	2	1	1/16	1/16	1		3	57		27
2	1	0	0	4/4	1	1	1/8	1/8	1		7	73		14
2	1	1/16	1/16	4/4	2	1	1/16	1/16	1		4	52		28
2	1	1/8	1/8	4/4	2	1	1/16	1/16	1		7	49		29
2	1	1/8	1/8	4/4	1	1	1/8	1/8	1		3	69		15
2	1	3/16	3/16	4/4	2	1	1/16	1/16	1		4	52		30
2	1	1/4	1/4	4/4	2	1	1/8	1/8	1		3	45		31
2	1	5/16	5/16	4/4	1	1	1/16	1/16	1		4	76		16
2	1	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57		32
2	1	3/8	3/8	4/4	1	1	1/16	1/16	1		3	81		17
2	1	7/16	7/16	4/4	1	1	1/16	1/16	1		7	73		18
2	1	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59		33
2	1	1/2	1/2	4/4	1	1	1/16	1/16	1		2	74		19
2	1	9/16	9/16	4/4	1	1	1/16	1/16	1		1	79		20
2	1	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62		34
2	1	5/8	5/8	4/4	1	1	1/16	1/16	1		-1	77		21
2	1	11/16	11/16	4/4	1	1	1/16	1/16	1		1	79		22
2	1	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61		35
2	1	3/4	3/4	4/4	1	1	1/16	1/16	1		4	76		23
2	1	13/16	13/16	4/4	1	1	1/16	1/16	1		3	81		24
2	1	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57		36
2	1	7/8	7/8	4/4	1	1	1/16	1/16	1		1	79		25
2	1	15/16	15/16	4/4	1	1	1/16	1/16	1		3	81		26
3	2	0	0	4/4	2	1	1/16	1/16	1		2	62		50
3	2	0	0	4/4	1	1	1/8	1/8	1		-1	77		37
3	2	1/16	1/16	4/4	2	1	1/16	1/16	1		3	57		51
3	2	1/8	1/8	4/4	2	1	1/16	1/16	1		-1	53		52
3	2	1/8	1/8	4/4	1	1	1/8	1/8	1		2	74		38
3	2	3/16	3/16	4/4	2	1	1/16	1/16	1		3	57		53
3	2	1/4	1/4	4/4	2	1	1/8	1/8	1		2	50		54
3	2	5/16	5/16	4/4	1	1	1/16	1/16	1		3	69		39
3	2	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62		55
3	2	3/8	3/8	4/4	1	1	1/16	1/16	1		-2	70		40
3	2	7/16	7/16	4/4	1	1	1/16	1/16	1		3	69		41
3	2	1/2	1/2	4/4	2	1	1/8	1/8	1		4	64		56
3	2	1/2	1/2	4/4	1	1	1/16	1/16	1		1	67		42
3	2	9/16	9/16	4/4	1	1	1/16	1/16	1		-2	70		43
3	2	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62		57
