mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	2	1	1/2		1/2	1	1	0	48	4
1	1	1/2	1/2	4/4	2	2	1/2		1/2	1		0	36	6
1	1	1/2	1/2	4/4	2	1	1/2		1/2	1	-1	0	48	5
1	1	5/8	5/8	4/4	1	1	1/8		1/8	1		-1	65	0
1	1	3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	2
1	1	3/4	3/4	4/4	1	1	1/4		1/4	1	1	4	64	1
1	1	7/8	7/8	4/4	1	2	1/8		1/8	1	1	0	60	3
2	2	0	0	4/4	2	2	1		1	1		1	43	18
2	2	0	0	4/4	1	2	3/8		1/4	3/2	-1	0	60	12
2	2	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	7
2	2	1/8	1/8	4/4	1	1	1/8		1/8	1		4	64	8
2	2	1/4	1/4	4/4	1	1	1/4		1/4	1	1	2	62	9
2	2	3/8	3/8	4/4	1	2	1/8		1/8	1	1	0	60	13
2	2	1/2	1/2	4/4	2	1	1/2		1/2	1	1	1	55	17
2	2	1/2	1/2	4/4	1	2	1/8		1/8	1	-1	0	60	14
2	2	1/2	1/2	4/4	1	1	3/8		1/4	3/2	-1	2	62	10
2	2	5/8	5/8	4/4	1	2	1/8		1/8	1		0	60	15
2	2	3/4	3/4	4/4	1	2	1/4		1/4	1	1	5	59	16
2	2	7/8	7/8	4/4	1	1	1/8		1/8	1	1	4	64	11
3	3	0	0	4/4	2	2	1		1	1		3	45	31
3	3	0	0	4/4	2	1	1/2		1/2	1	-1	1	55	29
3	3	0	0	4/4	1	2	3/8		1/4	3/2	-1	5	59	24
3	3	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	19
3	3	1/8	1/8	4/4	1	1	1/8		1/8	1		2	62	20
3	3	1/4	1/4	4/4	1	1	1/4		1/4	1	1	0	60	21
3	3	3/8	3/8	4/4	1	2	1/8		1/8	1	1	5	59	25
3	3	1/2	1/2	4/4	2	1	1/2		1/2	1	1	-1	53	30
3	3	1/2	1/2	4/4	1	2	1/8		1/8	1	-1	5	59	26
3	3	1/2	1/2	4/4	1	1	3/8		1/4	3/2	-1	0	60	22
3	3	5/8	5/8	4/4	1	2	1/8		1/8	1		5	59	27
3	3	3/4	3/4	4/4	1	2	1/4		1/4	1	1	3	57	28
3	3	7/8	7/8	4/4	1	1	1/8		1/8	1	1	0	60	23
4	4	0	0	4/4	2	2	1/2		1/2	1		5	47	44
4	4	0	0	4/4	2	1	1/2		1/2	1	-1	-1	53	42
