mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	5/16	5/16	4/4	2	1	Bb.I				Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	4	4	0.5	0.1875	0.625	0.23076923076923078
1	1	3/4	3/4	4/4	2	1	I(4)				Bb	I		I(4)	I			4				M	0	0	-2, -3, -1		-2	-2	1	2	0.3333333333333333	0.0	0.28125	0.0
1	1	15/16	15/16	4/4	2	1	I				Bb	I		I	I							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.09375	0.0
2	2	0	0	4/4	2	1	V6				Bb	I		V6	V		6					M	0	0	3, 0, -1		-1	3	4	7	0.36363636363636365	0.0375	0.8375	0.04285714285714286
2	2	1/2	1/2	4/4	2	1	vi				Bb	I		vi	vi							m	0	0	1, -2, 2		1	1	3	4	0.42857142857142855	0.020833333333333332	0.4791666666666667	0.041666666666666664
2	2	3/4	3/4	4/4	2	1	V				Bb	I		V	V							M	0	0	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0	0.25	0.0
2	2	7/8	7/8	4/4	2	1	V6/V	-0.333613	-2.59737	/	Bb	I		V6/V	V		6		V			M	0	0	4, 1, 0		0	4	1	1	0.5	0.0625	0.125	0.3333333333333333
3	3	0	0	4/4	2	1	V\\				Bb	I		V	V						\\	M	0	0	-1, 3, 0		-1	-1	4	6	0.4	0.09375	1.0625	0.08108108108108109
3	3	1/2	1/2	4/4	2	1	IV6				Bb	I		IV6	IV		6					M	0	0	1, -2, -3		-3	1	2	6	0.25	0.020833333333333332	0.7291666666666666	0.027777777777777776
3	3	3/4	3/4	4/4	2	1	V6				Bb	I		V6	V		6					M	0	0	3, 0, -1		-1	3	2	4	0.3333333333333333	0.0625	0.6875	0.08333333333333333
4	4	0	0	4/4	2	1	I\\				Bb	I		I	I						\\	M	0	0	-2, 2, -1		-2	-2	3	4	0.42857142857142855	0.0625	0.40625	0.13333333333333333
4	4	1/4	1/4	4/4	2	1	V.ii	0.135547	-6.15978	/	Bb	V		ii	ii							m	0	0	1, -2, 2		1	1	3	5	0.375	0.0375	0.5875	0.06
4	4	1/2	1/2	4/4	2	1	V	-0.222408	-4.94649	/	Bb	V		V	V							M	0	0	0, 4, 1		0	0	3	4	0.42857142857142855	0.0625	0.40625	0.13333333333333333
4	4	3/4	3/4	4/4	2	1	I6	0	-4.12657	/	Bb	V		I6	I		6					M	0	0	3, 0, -1		-1	3	3	5	0.375	0.0375	0.5875	0.06
5	5	0	0	4/4	2	1	vi	0	-3.44883	/	Bb	V		vi	vi							m	0	0	2, -1, 3		2	2	4	4	0.5	0.0625	0.40625	0.13333333333333333
